input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
ff9171045302c7de72b9fcff167cef615c642dba+396ec807aa277047c5119ce60fcc14bee7b9ffcc/ea922923d4e21ed6dcc0d6eca4c557bcbb5832b4+a392a16688a788d615d1f0ac696c5f64e4ca32b1,java_gumtree,gumtree_lazy,4839776,4839118,3842388,3842388,0,0,575,575,18446744073355929136,18446744073009973424,26976,26912,3842388,575,3842388,575
ea922923d4e21ed6dcc0d6eca4c557bcbb5832b4+a392a16688a788d615d1f0ac696c5f64e4ca32b1/17e000b58363dee4ee1687e582f13ef993b387e0+c21ffb4d0aec37d0efccd9f87482f7561ad21ce1,java_gumtree,gumtree_lazy,4839118,4839124,3842401,3842401,0,0,23,23,18446744073355977296,18446744073010018744,26912,59832,3842401,23,3842401,23
17e000b58363dee4ee1687e582f13ef993b387e0+c21ffb4d0aec37d0efccd9f87482f7561ad21ce1/dea4ee6771ed145dc12d0b840cf3f7aa4d032870+211f33bbea680d2505e8c6c84c354979a218c637,java_gumtree,gumtree_lazy,4839124,4839124,-1,3842408,-1,-1,-1,7,-1,-1,59832,-8064,3842408,7,3842408,7
dea4ee6771ed145dc12d0b840cf3f7aa4d032870+211f33bbea680d2505e8c6c84c354979a218c637/bad3d03246b8480d75379b9ae39747c728cf39ac+798f3026c2e086e732e6aac0744d0154da33bb39,java_gumtree,gumtree_lazy,4839124,4839174,3842150,3842150,0,0,598,598,18446744073355976848,18446744073010016840,-8064,89496,3842150,598,3842150,598
bad3d03246b8480d75379b9ae39747c728cf39ac+798f3026c2e086e732e6aac0744d0154da33bb39/36fc6d6980c235afa846fb397e211ff856d46390+9d054c4067fc0f13b62875b08edeaa1e1fcf850c,java_gumtree,gumtree_lazy,4839174,4839096,3842373,3842373,0,0,93,93,18446744073355973728,18446744073010018504,89496,44048,3842373,93,3842373,93
36fc6d6980c235afa846fb397e211ff856d46390+9d054c4067fc0f13b62875b08edeaa1e1fcf850c/6045c2645a24b60b72afd1e29a9f96b28806dc9e+bf969f8b9b0aaaa24052f9b8871aebea0f21a9b1,java_gumtree,gumtree_lazy,4839096,4839096,-1,3842383,-1,-1,-1,0,-1,-1,44048,9984,3842383,0,3842383,0
6045c2645a24b60b72afd1e29a9f96b28806dc9e+bf969f8b9b0aaaa24052f9b8871aebea0f21a9b1/e3d6c0852d8a72072ce62ac28123bbfc8c8c1776+456f71b61ea65a0481a86f484a85773862206347,java_gumtree,gumtree_lazy,4839096,4839096,-1,3842383,-1,-1,-1,0,-1,-1,9984,0,3842383,0,3842383,0
e3d6c0852d8a72072ce62ac28123bbfc8c8c1776+456f71b61ea65a0481a86f484a85773862206347/15adae32d46bf250040ae2b26413007ebc81554d+4ef6933458dfd30cd4c45c68d4dd6527c5c2e059,java_gumtree,gumtree_lazy,4839096,4838647,3841757,3841757,0,0,899,899,18446744073355979176,18446744073010059656,0,58864,3841757,899,3841757,899
15adae32d46bf250040ae2b26413007ebc81554d+4ef6933458dfd30cd4c45c68d4dd6527c5c2e059/deb42a4d128e2d2236bcf6b4894531d465253078+6f282e6b0dbd4f587570c591e6cd1159a7f81aff,java_gumtree,gumtree_lazy,4838647,4825261,-1,3831831,-1,-1,-1,10171,-1,-1,58864,5544,3831831,10171,3831831,10171
deb42a4d128e2d2236bcf6b4894531d465253078+6f282e6b0dbd4f587570c591e6cd1159a7f81aff/0affda999bf134bb1204f35b33c53d681616d9b3+6767eb118a2b026892b5dad49bd05b14d7230eac,java_gumtree,gumtree_lazy,4825261,4825261,-1,3831831,-1,-1,-1,7,-1,-1,5544,4744,3831831,7,3831831,7
