input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
036f0998cd37fee1e860aa409b96c3412e74ceb0+f8105f0006fb81a15be1ff8eefe7a17488a29fe8+eb87a6d2a3e601954429c73d6ed5ffbba5213578/1e705f05178d7e650c484ff1377c4492c2489e39+457f53f08f38e3c6d154699ea00fa521f208882d+17298f99d92a6296d6df1116d3840db035a41ef1,java_gumtree,gumtree_lazy,4016287,4016287,3126431,3126431,0,0,27,27,18446744073421254184,18446744073140661408,23160,43000,3126431,27,3126431,27
1e705f05178d7e650c484ff1377c4492c2489e39+457f53f08f38e3c6d154699ea00fa521f208882d+17298f99d92a6296d6df1116d3840db035a41ef1/15745d0a63e84f987ea9c892a139564c5c557439+00cf46cde434d8a9909bc13ead6664acf1b6240f+74c73dd4ce62f27fdea697ab9728458ece2c1948,java_gumtree,gumtree_lazy,4016287,4016280,3126425,3126425,0,0,34,34,18446744073421253424,18446744073140661560,43000,18488,3126425,34,3126425,34
15745d0a63e84f987ea9c892a139564c5c557439+00cf46cde434d8a9909bc13ead6664acf1b6240f+74c73dd4ce62f27fdea697ab9728458ece2c1948/fd091d94a0219be967c30c78ebf4f72f09f9edf9+da4334b8dfcfa3efe6fba6b95afd0e5e6b272348+023620625fcc30c6b5f3a09e000422c24b79c3d8,java_gumtree,gumtree_lazy,4016280,4016099,3125974,3125974,0,0,787,787,18446744073421254064,18446744073140675032,18488,37272,3125974,787,3125974,787
fd091d94a0219be967c30c78ebf4f72f09f9edf9+da4334b8dfcfa3efe6fba6b95afd0e5e6b272348+023620625fcc30c6b5f3a09e000422c24b79c3d8/79660d03ac5cad9808ef0446330f6fd466630fe1+11b26b52563ef9bfecfcd0839b0f439e7661416f+5743280c43c6444dfdd98e3a3b6d6d40365baebd,java_gumtree,gumtree_lazy,4016099,4016060,3125986,3125986,0,0,596,596,18446744073421267472,18446744073140691368,37272,22600,3125986,596,3125986,596
79660d03ac5cad9808ef0446330f6fd466630fe1+11b26b52563ef9bfecfcd0839b0f439e7661416f+5743280c43c6444dfdd98e3a3b6d6d40365baebd/db83880114227840df82b3d9f51a44a311d9ce8d+caef762530f61de5c41b497200d1b98019b073a1+5a975b8841444b69e048eb471c8fa941350f562f,java_gumtree,gumtree_lazy,4016060,4013877,3124611,3124611,0,0,1885,1885,18446744073421270448,18446744073140814056,22600,74368,3124611,1885,3124611,1885
db83880114227840df82b3d9f51a44a311d9ce8d+caef762530f61de5c41b497200d1b98019b073a1+5a975b8841444b69e048eb471c8fa941350f562f/cd4c904218737a2fa61f2cb2b91ecba3c4ffbd09+cc54e4dbdd16c6d269eb6686f472999445cba22b+78626190b9b632e72e5efcafb1e6fccaf69abad0,java_gumtree,gumtree_lazy,4013877,4013786,3124643,3124643,0,0,191,191,18446744073421409408,18446744073140973936,74368,36736,3124643,191,3124643,191
cd4c904218737a2fa61f2cb2b91ecba3c4ffbd09+cc54e4dbdd16c6d269eb6686f472999445cba22b+78626190b9b632e72e5efcafb1e6fccaf69abad0/93f6c7bdf3eafd9663187fdaf56c91706f365f8b+7821b73202a878bea091d4bc97195fdd87d76382+ead588114f2c5122e78fc4e4fcc06215be119147,java_gumtree,gumtree_lazy,4013786,4013679,3124530,3124530,0,0,310,310,18446744073421415808,18446744073140986504,36736,70136,3124530,310,3124530,310
93f6c7bdf3eafd9663187fdaf56c91706f365f8b+7821b73202a878bea091d4bc97195fdd87d76382+ead588114f2c5122e78fc4e4fcc06215be119147/dd97d37838a9af14301cf37ccedb0b9f5e0db118+64107353a37e623ed1f8fecb4422c24212cf6fe1+3efaa717c827561eb934c4f0ae631b3f4f4e5850,java_gumtree,gumtree_lazy,4013679,4011847,3123124,3123124,0,0,1566,1566,18446744073421423032,18446744073141124760,70136,25024,3123124,1566,3123124,1566
dd97d37838a9af14301cf37ccedb0b9f5e0db118+64107353a37e623ed1f8fecb4422c24212cf6fe1+3efaa717c827561eb934c4f0ae631b3f4f4e5850/6f4b588281fa5715f4446dc1f081186933efc8e4+fef43b2aaa4fd7cb8f0dff395980c69f614635af+3492ee73b582953bbd00d8780feb66a406895d80,java_gumtree,gumtree_lazy,4011847,4011847,3123168,3123168,0,0,0,0,18446744073421555408,18446744073141257960,25024,7168,3123168,0,3123168,0
6f4b588281fa5715f4446dc1f081186933efc8e4+fef43b2aaa4fd7cb8f0dff395980c69f614635af+3492ee73b582953bbd00d8780feb66a406895d80/6faca9923efdd6c1e7ed319121268ab3824d84d5+9e5f86d10b3b3ff4ba0dfe7ba0722c9e640fcc20+f4fb34a15ec449836df4a1c2cf773e4b452f217d,java_gumtree,gumtree_lazy,4011847,4011034,3122291,3122291,0,0,1124,1124,18446744073421555888,18446744073141315376,7168,80576,3122291,1124,3122291,1124
