 commit commit_after size_before size_after success_mod_before failed_mod_before success_mod_after failed_mod_after  time_before time_after diff_t diff_size
 3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164 56e12a0c0e0e69ea70863011b4f4ca3305e0542b 405330 405292 1 0 1 0 14551973518 26030706629 11740315602 95
 07ab4c7629c46933b46df72f287200986b20bcfc 3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164 405330 405330 1 0 1 0 12368598732 14551973518 9107087529 0
 394224589ec67a221b516c85514e917ff9579c6c 07ab4c7629c46933b46df72f287200986b20bcfc 405330 405330 1 0 1 0 11750543724 12368598732 8450513042 0
 a50d726f5f9ced0f3cd7c5c391236301889c96bb 394224589ec67a221b516c85514e917ff9579c6c 405330 405330 1 0 1 0 11985585999 11750543724 8762119580 0
 2d3a55131e0243e2f640ee041f29154b1112ddf3 a50d726f5f9ced0f3cd7c5c391236301889c96bb 405330 405330 1 0 1 0 12564453425 11985585999 7980810595 0
 af8bd289784a21f2191d145bcc711c335dff574c 2d3a55131e0243e2f640ee041f29154b1112ddf3 405330 405330 1 0 1 0 11404121119 12564453425 7726716012 0
 32104823d5399cf07c36c7c2ae944c10e6d7a04b af8bd289784a21f2191d145bcc711c335dff574c 405361 405330 1 0 1 0 11509778682 11404121119 9003542599 33
 5e15569517f6a87802cd5ed5c261b77e623f44e5 32104823d5399cf07c36c7c2ae944c10e6d7a04b 405377 405361 1 0 1 0 11136022722 11509778682 9209977074 167
 5f3ac8704b789b23792e6b1bdd1e06f22dbcbe2a 5e15569517f6a87802cd5ed5c261b77e623f44e5 405377 405377 1 0 1 0 11472412205 11136022722 7825520003 0
 d36a0e99f95435df5aad222770667dd472c6cf49 5f3ac8704b789b23792e6b1bdd1e06f22dbcbe2a 405377 405377 1 0 1 0 11113392003 11472412205 7833925629 0
 9dfca3bf8bbada63f55eb5abc6643398c3358661 d36a0e99f95435df5aad222770667dd472c6cf49 405375 405377 1 0 1 0 10952311999 11113392003 9539532774 6
 398dcc366de592fe310c63538c62a47f2c3f881d 9dfca3bf8bbada63f55eb5abc6643398c3358661 405387 405375 1 0 1 0 11511694201 10952311999 9175347269 24
 9a43cd93c55db19ba09fcdb294a4b1f499b20fa2 398dcc366de592fe310c63538c62a47f2c3f881d 405387 405387 1 0 1 0 10715795268 11511694201 7954600442 0
 97c9d0782431e53ee72fddcb444b2d892d6618b0 9a43cd93c55db19ba09fcdb294a4b1f499b20fa2 405387 405387 1 0 1 0 10552777057 10715795268 7879456259 0
